cycle_id	timestamp	ticker	action	confidence	tokens_used	elapsed_sec	outcome	realized_pnl	status	experiment_desc	snapshot_ref
cycle-1779693706	2026-05-25T07:31:23.541512+00:00	LRMR	HOLD	45	0	0.00		0.0000	ok		
audit-cycle-dbb95789	2026-05-25T20:53:13.406914+00:00	AAPL	SELL	95	0	0.00		0.0000	ok		
cycle-1779744051	2026-05-25T21:26:57.033293+00:00	AAPL	SELL	95	0	0.00		0.0000	ok		
cycle-1779748433	2026-05-25T22:40:39.464714+00:00	AAPL	SELL	95	0	0.00		0.0000	ok		
cycle-1779840753	2026-05-27T00:19:26.350109+00:00	NVDA	BUY	75	0	0.00		0.0000	ok		
cycle-1779841733	2026-05-27T00:35:33.053692+00:00	NVDA	HOLD	75	0	0.00		0.0000	ok		
sim-bullish-positive-1779842539	2026-05-27T00:48:57.404860+00:00	NVDA	HOLD	75	0	0.00		0.0000	ok		
sim-bearish-negative-1779843348	2026-05-27T01:02:29.716289+00:00	NVDA	SELL	85	0	0.00		0.0000	ok		
sim-neutral-neutral-1779844101	2026-05-27T01:15:49.807631+00:00	NVDA	BUY	68	0	0.00		0.0000	ok		
sim-bullish-positive-1779845923	2026-05-27T01:47:17.902245+00:00	NVDA	BUY	75	0	0.00		0.0000	ok		
sim-bearish-negative-1779847137	2026-05-27T02:05:52.874359+00:00	NVDA	BUY	75	0	0.00		0.0000	ok		
sim-neutral-neutral-1779848272	2026-05-27T02:24:48.282823+00:00	NVDA	BUY	78	0	0.00		0.0000	ok		
sim-bullish-positive-1779849153	2026-05-27T02:40:02.254984+00:00	NVDA	BUY	72	0	0.00		0.0000	ok		
sim-bearish-negative-1779850265	2026-05-27T02:57:50.482913+00:00	NVDA	BUY	72	0	0.00		0.0000	ok		
sim-neutral-neutral-1779851366	2026-05-27T03:16:05.459468+00:00	NVDA	BUY	72	0	0.00		0.0000	ok		
v2-99cb8933	2026-05-27T19:13:20.409054+00:00	OKLO	HOLD	65	0	0.00		0.0000	ok		
battle-001	2026-06-03T21:58:25.986477+00:00	AAPL	BUY	75	0	0.00		0.0000	ok		
battle-gap	2026-06-03T21:59:28.330994+00:00	AAPL	HOLD	0	0	0.00		0.0000	ok		
battle-hall	2026-06-03T22:00:30.615711+00:00	AAPL	HOLD	37	0	0.00		0.0000	ok		
cycle-1781500685	2026-06-15T05:30:52.881133+00:00	AAPL	BUY	70	0	0.00		0.0000	ok		
cycle-1781504535	2026-06-15T06:33:08.740673+00:00	AAPL	HOLD	55	0	0.00		0.0000	ok		
cycle-1781505490	2026-06-15T06:49:35.593578+00:00	NVDA	SELL	74	0	0.00		0.0000	ok		
cycle-1781542929	2026-06-15T17:10:59.600615+00:00	NVDA	SELL	68	0	0.00		0.0000	ok		
cycle-1781547672	2026-06-15T18:22:18.361833+00:00	AAPL	HOLD	75	0	0.00		0.0000	ok		
cycle-1781550393	2026-06-15T19:07:41.925209+00:00	AAPL	HOLD	75	0	0.00		0.0000	ok		
